2026-02-07 06:42:53 | INFO     | phase0 | [tracking] Registered run: experiment=exp10_direction_ar run_id=20260207_064253 git=a1a1bc2 out=outputs/tier3/exp10_direction_ar/20260207_064253
2026-02-07 06:42:53 | INFO     | phase0 | [exp10] Loaded codebook: outputs/tier3/exp8_direction_codebook/20260206_233223/codebook_K0256.npy shape=(256, 32)
2026-02-07 06:42:53 | INFO     | phase0 | [exp10] Codebook norm range: [1.000000, 1.000000]
2026-02-07 06:42:53 | INFO     | phase0 | [exp10] Near-zero threshold: 0.007291 (frac=0.01, median=0.729121)
2026-02-07 06:42:53 | INFO     | phase0 | [exp10] Model: 1,577,218 parameters, K=256, D=32, input_dim=256
2026-02-07 06:42:54 | INFO     | phase0 | [exp10] Training: K=256 D=32 hidden=1024 layers=2 batch=256 steps=20000 lr=0.0003
2026-02-07 06:42:58 | INFO     | phase0 | [exp10] step=100/20000 train_nll=5.7528
2026-02-07 06:43:00 | INFO     | phase0 | [exp10] step=200/20000 train_nll=5.2052
2026-02-07 06:43:02 | INFO     | phase0 | [exp10] step=300/20000 train_nll=5.1382
2026-02-07 06:43:04 | INFO     | phase0 | [exp10] step=400/20000 train_nll=5.1078
2026-02-07 06:43:06 | INFO     | phase0 | [exp10] step=500/20000 train_nll=5.0439
2026-02-07 06:43:08 | INFO     | phase0 | [exp10] step=600/20000 train_nll=4.9524
2026-02-07 06:43:10 | INFO     | phase0 | [exp10] step=700/20000 train_nll=4.8694
2026-02-07 06:43:13 | INFO     | phase0 | [exp10] step=800/20000 train_nll=4.8074
2026-02-07 06:43:15 | INFO     | phase0 | [exp10] step=900/20000 train_nll=4.7240
2026-02-07 06:43:17 | INFO     | phase0 | [exp10] step=1000/20000 train_nll=4.6944
2026-02-07 06:43:19 | INFO     | phase0 | [exp10] step=1100/20000 train_nll=4.6615
2026-02-07 06:43:21 | INFO     | phase0 | [exp10] step=1200/20000 train_nll=4.6291
2026-02-07 06:43:23 | INFO     | phase0 | [exp10] step=1300/20000 train_nll=4.5987
2026-02-07 06:43:26 | INFO     | phase0 | [exp10] step=1400/20000 train_nll=4.5841
2026-02-07 06:43:27 | INFO     | phase0 | [exp10] step=1500/20000 train_nll=4.6094
2026-02-07 06:43:29 | INFO     | phase0 | [exp10] step=1600/20000 train_nll=4.6256
2026-02-07 06:43:32 | INFO     | phase0 | [exp10] step=1700/20000 train_nll=4.6181
2026-02-07 06:43:34 | INFO     | phase0 | [exp10] step=1800/20000 train_nll=4.5524
2026-02-07 06:43:36 | INFO     | phase0 | [exp10] step=1900/20000 train_nll=4.5333
2026-02-07 06:43:38 | INFO     | phase0 | [exp10] step=2000/20000 train_nll=4.5296
2026-02-07 06:43:38 | INFO     | phase0 | [exp10] step=2000 eval: dir_acc=0.1134 dir_top5_acc=0.3598 mag_nll=0.4919 total_nll=4.3831
2026-02-07 06:43:39 | INFO     | phase0 | [exp10] step=2100/20000 train_nll=4.5190
2026-02-07 06:43:40 | INFO     | phase0 | [exp10] step=2200/20000 train_nll=4.5102
2026-02-07 06:43:41 | INFO     | phase0 | [exp10] step=2300/20000 train_nll=4.4984
2026-02-07 06:43:44 | INFO     | phase0 | [exp10] step=2400/20000 train_nll=4.4462
2026-02-07 06:43:46 | INFO     | phase0 | [exp10] step=2500/20000 train_nll=4.4183
2026-02-07 06:43:48 | INFO     | phase0 | [exp10] step=2600/20000 train_nll=4.4515
2026-02-07 06:43:50 | INFO     | phase0 | [exp10] step=2700/20000 train_nll=4.4436
2026-02-07 06:43:53 | INFO     | phase0 | [exp10] step=2800/20000 train_nll=4.4608
2026-02-07 06:43:55 | INFO     | phase0 | [exp10] step=2900/20000 train_nll=4.4569
2026-02-07 06:43:57 | INFO     | phase0 | [exp10] step=3000/20000 train_nll=4.4615
2026-02-07 06:44:00 | INFO     | phase0 | [exp10] step=3100/20000 train_nll=4.4590
2026-02-07 06:44:02 | INFO     | phase0 | [exp10] step=3200/20000 train_nll=4.4494
2026-02-07 06:44:04 | INFO     | phase0 | [exp10] step=3300/20000 train_nll=4.3765
2026-02-07 06:44:06 | INFO     | phase0 | [exp10] step=3400/20000 train_nll=4.3930
2026-02-07 06:44:08 | INFO     | phase0 | [exp10] step=3500/20000 train_nll=4.3595
2026-02-07 06:44:10 | INFO     | phase0 | [exp10] step=3600/20000 train_nll=4.3760
2026-02-07 06:44:12 | INFO     | phase0 | [exp10] step=3700/20000 train_nll=4.3282
2026-02-07 06:44:15 | INFO     | phase0 | [exp10] step=3800/20000 train_nll=4.3289
2026-02-07 06:44:17 | INFO     | phase0 | [exp10] step=3900/20000 train_nll=4.3930
2026-02-07 06:44:19 | INFO     | phase0 | [exp10] step=4000/20000 train_nll=4.4084
2026-02-07 06:44:19 | INFO     | phase0 | [exp10] step=4000 eval: dir_acc=0.1178 dir_top5_acc=0.4070 mag_nll=0.4442 total_nll=4.1770
