2026-02-09 20:34:13 | INFO     | phase0 | [tracking] Registered run: experiment=exp6_score_correction run_id=20260209_203413 git=a1a1bc2 out=outputs/tier2/exp6_score_correction/20260209_203413
2026-02-09 20:34:13 | INFO     | phase0 | [exp6] Loading Phase 1 checkpoint: outputs/phase1/checkpoints/mdn_k1_final.pt
2026-02-09 20:35:09 | INFO     | phase0 | [exp6] 22216 train utterances for score model
2026-02-09 20:35:09 | INFO     | phase0 | [exp6] Training score model... (conditional=True)
2026-02-09 20:35:10 | INFO     | phase0 | [score_train_cond] dim=512 cond_dim=4096 hidden=1024 layers=4 sigma=[0.01,1.0] batch=256 steps=20000 W=8 k=1
2026-02-09 20:35:11 | INFO     | phase0 | [score_train_cond] step=100/20000 loss=512.1282
2026-02-09 20:35:12 | INFO     | phase0 | [score_train_cond] step=200/20000 loss=511.9309
2026-02-09 20:35:13 | INFO     | phase0 | [score_train_cond] step=300/20000 loss=512.1547
2026-02-09 20:35:14 | INFO     | phase0 | [score_train_cond] step=400/20000 loss=511.9204
2026-02-09 20:35:15 | INFO     | phase0 | [score_train_cond] step=500/20000 loss=511.8226
2026-02-09 20:35:16 | INFO     | phase0 | [score_train_cond] step=600/20000 loss=511.8515
2026-02-09 20:35:17 | INFO     | phase0 | [score_train_cond] step=700/20000 loss=512.2945
2026-02-09 20:35:17 | INFO     | phase0 | [score_train_cond] step=800/20000 loss=512.1699
2026-02-09 20:35:18 | INFO     | phase0 | [score_train_cond] step=900/20000 loss=512.2353
2026-02-09 20:35:19 | INFO     | phase0 | [score_train_cond] step=1000/20000 loss=512.5131
2026-02-09 20:35:20 | INFO     | phase0 | [score_train_cond] step=1100/20000 loss=511.9788
2026-02-09 20:35:21 | INFO     | phase0 | [score_train_cond] step=1200/20000 loss=512.1590
2026-02-09 20:35:22 | INFO     | phase0 | [score_train_cond] step=1300/20000 loss=511.9031
2026-02-09 20:35:23 | INFO     | phase0 | [score_train_cond] step=1400/20000 loss=512.2874
2026-02-09 20:35:23 | INFO     | phase0 | [score_train_cond] step=1500/20000 loss=511.8249
2026-02-09 20:35:24 | INFO     | phase0 | [score_train_cond] step=1600/20000 loss=515.6467
2026-02-09 20:35:25 | INFO     | phase0 | [score_train_cond] step=1700/20000 loss=512.5128
2026-02-09 20:35:26 | INFO     | phase0 | [score_train_cond] step=1800/20000 loss=511.5130
2026-02-09 20:35:27 | INFO     | phase0 | [score_train_cond] step=1900/20000 loss=512.5733
2026-02-09 20:35:28 | INFO     | phase0 | [score_train_cond] step=2000/20000 loss=512.0246
2026-02-09 20:35:29 | INFO     | phase0 | [score_train_cond] step=2100/20000 loss=512.2239
2026-02-09 20:35:29 | INFO     | phase0 | [score_train_cond] step=2200/20000 loss=512.1476
2026-02-09 20:35:30 | INFO     | phase0 | [score_train_cond] step=2300/20000 loss=512.4196
2026-02-09 20:35:31 | INFO     | phase0 | [score_train_cond] step=2400/20000 loss=511.9014
2026-02-09 20:35:32 | INFO     | phase0 | [score_train_cond] step=2500/20000 loss=512.1326
2026-02-09 20:35:33 | INFO     | phase0 | [score_train_cond] step=2600/20000 loss=511.8889
2026-02-09 20:35:34 | INFO     | phase0 | [score_train_cond] step=2700/20000 loss=511.8611
2026-02-09 20:35:35 | INFO     | phase0 | [score_train_cond] step=2800/20000 loss=512.0523
2026-02-09 20:35:36 | INFO     | phase0 | [score_train_cond] step=2900/20000 loss=512.0317
2026-02-09 20:35:37 | INFO     | phase0 | [score_train_cond] step=3000/20000 loss=514.1495
2026-02-09 20:35:38 | INFO     | phase0 | [score_train_cond] step=3100/20000 loss=517.4050
2026-02-09 20:35:39 | INFO     | phase0 | [score_train_cond] step=3200/20000 loss=511.7285
