2026-02-09 22:09:31 | INFO     | phase0 | [tracking] Registered run: experiment=exp6b_projector_correction run_id=20260209_220931 git=a1a1bc2 out=outputs/tier2/exp6b_projector_correction/20260209_220931
2026-02-09 22:09:31 | INFO     | phase0 | [exp6b] Loading Phase 1 checkpoint: outputs/phase1/checkpoints/mdn_k1_final.pt
2026-02-09 22:10:25 | INFO     | phase0 | [exp6b] Training projector: D=512 ctx_dim=4096
2026-02-09 22:10:30 | INFO     | phase0 | [exp6b] step=100/10000 loss=9.179611
2026-02-09 22:10:34 | INFO     | phase0 | [exp6b] step=200/10000 loss=8.495460
2026-02-09 22:10:37 | INFO     | phase0 | [exp6b] step=300/10000 loss=8.229339
2026-02-09 22:10:41 | INFO     | phase0 | [exp6b] step=400/10000 loss=7.965192
2026-02-09 22:10:45 | INFO     | phase0 | [exp6b] step=500/10000 loss=7.866440
2026-02-09 22:10:49 | INFO     | phase0 | [exp6b] step=600/10000 loss=7.838477
2026-02-09 22:10:53 | INFO     | phase0 | [exp6b] step=700/10000 loss=7.714219
2026-02-09 22:10:56 | INFO     | phase0 | [exp6b] step=800/10000 loss=7.629609
2026-02-09 22:11:00 | INFO     | phase0 | [exp6b] step=900/10000 loss=7.556113
2026-02-09 22:11:04 | INFO     | phase0 | [exp6b] step=1000/10000 loss=7.552918
2026-02-09 22:11:08 | INFO     | phase0 | [exp6b] step=1100/10000 loss=19.355163
2026-02-09 22:11:11 | INFO     | phase0 | [exp6b] step=1200/10000 loss=7.494078
2026-02-09 22:11:15 | INFO     | phase0 | [exp6b] step=1300/10000 loss=7.450768
2026-02-09 22:11:19 | INFO     | phase0 | [exp6b] step=1400/10000 loss=7.600376
2026-02-09 22:11:23 | INFO     | phase0 | [exp6b] step=1500/10000 loss=7.508650
2026-02-09 22:11:27 | INFO     | phase0 | [exp6b] step=1600/10000 loss=7.359258
2026-02-09 22:11:30 | INFO     | phase0 | [exp6b] step=1700/10000 loss=7.311856
2026-02-09 22:11:34 | INFO     | phase0 | [exp6b] step=1800/10000 loss=7.331001
2026-02-09 22:11:38 | INFO     | phase0 | [exp6b] step=1900/10000 loss=7.426225
2026-02-09 22:11:42 | INFO     | phase0 | [exp6b] step=2000/10000 loss=7.324576
2026-02-09 22:11:46 | INFO     | phase0 | [exp6b] step=2100/10000 loss=7.272024
